dll,name,address
MSVCRT.dll,_adjust_fdiv,0x10005048
MSVCRT.dll,malloc,0x1000504c
MSVCRT.dll,_initterm,0x10005050
MSVCRT.dll,??2@YAPAXI@Z,0x10005054
MSVCRT.dll,??3@YAXPAX@Z,0x10005058
MSVCRT.dll,_stricmp,0x1000505c
MSVCRT.dll,free,0x10005060
MSVCRT.dll,realloc,0x10005064
MSVCRT.dll,calloc,0x10005068
KERNEL32.dll,FreeLibrary,0x10005008
KERNEL32.dll,HeapFree,0x1000500c
KERNEL32.dll,IsBadReadPtr,0x10005010
KERNEL32.dll,VirtualFree,0x10005014
KERNEL32.dll,VirtualProtect,0x10005018
KERNEL32.dll,GetProcAddress,0x1000501c
KERNEL32.dll,ExitProcess,0x10005020
KERNEL32.dll,LoadLibraryA,0x10005024
KERNEL32.dll,lstrcatA,0x10005028
KERNEL32.dll,GetSystemDirectoryA,0x1000502c
KERNEL32.dll,DisableThreadLibraryCalls,0x10005030
KERNEL32.dll,GetModuleFileNameA,0x10005034
KERNEL32.dll,VirtualAlloc,0x10005038
KERNEL32.dll,GetProcessHeap,0x1000503c
KERNEL32.dll,HeapAlloc,0x10005040
USER32.dll,wsprintfA,0x10005070
USER32.dll,MessageBoxA,0x10005074
ADVAPI32.dll,RegOpenKeyA,0x10005000
